country,year,population,life_expectancy_tidy,gni_per_capita_tidy
North Macedonia,1995,1.98M,70.7,4900
Mali,1995,9.59M,51.7,920
Malta,1995,377k,77.8,12.7k
Myanmar,1995,43.9M,57.0,540
Montenegro,1995,620k,74.3,540
Mongolia,1995,2.3M,59.5,3070
Mozambique,1995,15.5M,52.6,310
Mauritania,1995,2.31M,61.3,2950
Mauritius,1995,1.13M,71.1,6650
Malawi,1995,9.84M,46.3,820
Malaysia,1995,20.5M,71.8,10.2k
Namibia,1995,1.63M,60.3,4570
Niger,1995,9.49M,48.6,780
Nigeria,1995,108M,54.6,1960
Nicaragua,1995,4.65M,71.5,1990
Netherlands,1995,15.5M,77.7,23.8k
Norway,1995,4.37M,78.0,24.1k
Nepal,1995,21.6M,61.8,1100
Nauru,1995,10.6k,60.8,1100
New Zealand,1995,3.67M,76.8,16.8k
Oman,1995,2.2M,67.9,31.5k
Pakistan,1995,124M,60.3,2310
Panama,1995,2.74M,76.5,6380
Peru,1995,24.3M,71.5,4260
Philippines,1995,69.8M,69.8,3040
Palau,1995,17.2k,66.0,3040
Papua New Guinea,1995,5.19M,63.2,2100
Poland,1995,38.5M,72.0,7570
North Korea,1995,21.9M,61.8,
Portugal,1995,10.1M,75.5,14.5k
Paraguay,1995,4.78M,75.4,6020
Palestine,1995,2.62M,70.9,2600
Qatar,1995,513k,71.8,2600
Romania,1995,23M,69.4,5390
Russia,1995,148M,64.8,5570
Rwanda,1995,5.84M,46.4,500
Saudi Arabia,1995,18.6M,69.4,38k
Sudan,1995,24.1M,61.3,1950
Senegal,1995,8.69M,59.2,1650
Singapore,1995,3.53M,77.1,35.4k
Solomon Islands,1995,359k,56.6,1960
Sierra Leone,1995,4.3M,50.6,630
El Salvador,1995,5.63M,71.6,3860
San Marino,1995,25.9k,80.7,
Somalia,1995,7.49M,50.3,3860
Serbia,1995,9.88M,70.6,3860
South Sudan,1995,5.12M,55.8,3860
Sao Tome and Principe,1995,132k,64.1,3860
Suriname,1995,442k,70.9,6790
Slovak Republic,1995,5.38M,72.7,8740
Slovenia,1995,1.99M,75.1,13.7k
Sweden,1995,8.84M,79.1,22.4k
Eswatini,1995,927k,59.3,4290
Seychelles,1995,76.7k,71.0,10.3k
Syria,1995,14.3M,69.8,
Chad,1995,7.01M,53.5,740
Togo,1995,4.23M,57.5,810
Thailand,1995,59.5M,70.7,6730
Tajikistan,1995,5.76M,64.6,1000
Turkmenistan,1995,4.21M,64.6,3410
Timor-Leste,1995,844k,62.6,3410
Tonga,1995,96k,71.6,3160
Trinidad and Tobago,1995,1.25M,69.8,8710
Tunisia,1995,9.13M,73.0,4470
Turkey,1995,58.5M,70.8,10.3k
Tuvalu,1995,9300,62.9,10.3k
Taiwan,1995,21.4M,75.5,
Tanzania,1995,29.6M,52.9,990
Uganda,1995,20.4M,48.0,900
Ukraine,1995,50.9M,67.0,4090
Uruguay,1995,3.22M,73.7,8310
United States,1995,265M,76.1,28.4k
Uzbekistan,1995,22.8M,65.7,2190
St. Vincent and the Grenadines,1995,108k,70.5,4830
Venezuela,1995,21.9M,72.6,11.2k
Vietnam,1995,74.9M,70.8,1390
Vanuatu,1995,168k,63.3,1650
Samoa,1995,170k,67.7,1650
Yemen,1995,14.9M,61.1,2360
South Africa,1995,41.4M,62.9,7270
Zambia,1995,9.1M,46.8,1360
Zimbabwe,1995,11.4M,54.2,1890
Afghanistan,1996,18.9M,54.7,27.2k
Angola,1996,14.4M,51.7,2420
Albania,1996,3.1M,74.5,3050
Andorra,1996,64.4k,80.0,
United Arab Emirates,1996,2.54M,68.9,3050
Argentina,1996,35.2M,73.5,10.4k
Armenia,1996,3.17M,70.4,2050
Antigua and Barbuda,1996,70.2k,74.0,13.5k
Australia,1996,18.2M,78.5,21.2k
Austria,1996,8.02M,77.3,24.5k
Azerbaijan,1996,7.86M,65.3,2360
Burundi,1996,6.06M,43.0,510
Belgium,1996,10.2M,77.3,23.3k
Benin,1996,6.09M,56.9,1490
Burkina Faso,1996,10.4M,50.0,780
Bangladesh,1996,118M,63.1,1150
Bulgaria,1996,8.29M,69.3,6630
Bahrain,1996,579k,70.7,38.1k
Bahamas,1996,284k,70.4,26k
Bosnia and Herzegovina,1996,3.76M,73.5,2080
Belarus,1996,10M,68.9,4050
Belize,1996,214k,72.2,4380
Bolivia,1996,7.78M,64.6,2980
Brazil,1996,165M,69.5,8060
Barbados,1996,267k,74.1,10.3k
Brunei,1996,305k,72.0,65.5k
Bhutan,1996,541k,64.2,1960
Botswana,1996,1.5M,50.6,6730
Central African Republic,1996,3.31M,44.2,610
Canada,1996,29.5M,78.4,610
Switzerland,1996,7.04M,79.3,32.3k
Chile,1996,14.6M,75.5,7740
China,1996,1.25B,70.1,2030
Cote d'Ivoire,1996,14.7M,51.3,1850
Cameroon,1996,14M,56.2,1690
"Congo, Dem. Rep.",1996,42.8M,52.0,520
"Congo, Rep.",1996,2.79M,52.1,2190
Colombia,1996,37.1M,72.8,6420
Comoros,1996,489k,59.2,1580
Cape Verde,1996,396k,69.7,1920
Costa Rica,1996,3.63M,77.1,6490
Cuba,1996,10.9M,75.8,
Cyprus,1996,873k,75.8,16.5k
Czech Republic,1996,10.4M,74.0,14.5k
Germany,1996,81.3M,77.1,24.1k
Djibouti,1996,644k,60.5,24.1k
Dominica,1996,70.9k,71.9,5140
Denmark,1996,5.25M,75.9,23.3k
Dominican Republic,1996,7.95M,73.5,5030
Algeria,1996,29.3M,69.6,6970
Ecuador,1996,11.7M,73.5,5480
Egypt,1996,63.6M,66.9,4710
Eritrea,1996,2.2M,54.0,1390
Spain,1996,39.9M,78.3,16.7k
Estonia,1996,1.42M,70.0,16.7k
Ethiopia,1996,58.9M,50.1,460
Finland,1996,5.14M,77.2,19.6k
Fiji,1996,784k,66.0,5270
France,1996,58M,78.4,21.5k
"Micronesia, Fed. Sts.",1996,108k,62.2,2360
Gabon,1996,1.11M,60.0,12.8k
United Kingdom,1996,58.1M,77.0,21.2k
Georgia,1996,4.85M,70.9,2160
Ghana,1996,17.5M,59.8,1530
Guinea,1996,7.46M,54.0,1070
Gambia,1996,1.16M,61.4,1620
Guinea-Bissau,1996,1.11M,49.5,1280
Equatorial Guinea,1996,516k,52.7,1750
Greece,1996,10.8M,77.9,1750
Grenada,1996,101k,71.2,5310
Guatemala,1996,10.6M,65.2,4090
Guyana,1996,761k,63.0,5060
"Hong Kong, China",1996,6.19M,79.0,24.9k
Honduras,1996,5.87M,69.4,2240
Holy See,1996,784,,
Croatia,1996,4.57M,73.5,8790
Haiti,1996,7.89M,55.7,2030
Hungary,1996,10.3M,70.8,8930
Indonesia,1996,200M,66.4,4760
India,1996,982M,62.0,1670
Ireland,1996,3.62M,76.0,18.8k
Iran,1996,62.3M,70.7,9230
Iraq,1996,20.8M,67.3,5210
Iceland,1996,270k,79.0,24.5k
Israel,1996,5.42M,78.0,20.2k
Italy,1996,57.1M,78.5,22.8k
Jamaica,1996,2.56M,75.2,6090
Jordan,1996,4.73M,71.8,5020
Japan,1996,127M,80.7,25.3k
Kazakhstan,1996,15.6M,63.9,6090
Kenya,1996,28.6M,56.3,1770
Kyrgyz Republic,1996,4.63M,66.3,1470
Cambodia,1996,11M,59.1,810
Kiribati,1996,78.9k,55.6,1950
St. Kitts and Nevis,1996,42.5k,68.3,12.4k
South Korea,1996,45.8M,74.8,14.6k
Kuwait,1996,1.63M,78.8,70.5k
Lao,1996,4.95M,56.1,1460
Lebanon,1996,3.61M,73.5,8700
Liberia,1996,2.16M,49.6,8700
Libya,1996,5.04M,73.5,8700
St. Lucia,1996,149k,71.8,7590
Liechtenstein,1996,31.4k,,
Sri Lanka,1996,18.4M,70.8,3340
Lesotho,1996,1.93M,55.8,1510
Lithuania,1996,3.6M,70.3,6320
Luxembourg,1996,414k,76.9,38.6k
Latvia,1996,2.48M,69.0,5840
Morocco,1996,27.4M,68.1,3170
Monaco,1996,31k,78.6,
Moldova,1996,4.32M,66.9,3160
Madagascar,1996,13.9M,58.2,1130
Maldives,1996,259k,69.2,6340
Mexico,1996,93.1M,72.7,8770
Marshall Islands,1996,50.5k,63.3,2990
North Macedonia,1996,1.99M,71.0,5020
Mali,1996,9.84M,51.9,980
Malta,1996,380k,78.0,13.2k
Myanmar,1996,44.5M,57.4,590
Montenegro,1996,620k,74.1,590
Mongolia,1996,2.32M,59.6,3200
Mozambique,1996,16M,52.6,350
Mauritania,1996,2.37M,61.7,3250
Mauritius,1996,1.14M,71.2,7040
Malawi,1996,10M,46.0,880
Malaysia,1996,21M,72.2,11.1k
Namibia,1996,1.66M,59.2,4600
Niger,1996,9.83M,50.0,780
Nigeria,1996,111M,54.4,2040
Nicaragua,1996,4.74M,71.5,2150
Netherlands,1996,15.6M,77.8,24.9k
Norway,1996,4.39M,78.3,26.5k
Nepal,1996,22.1M,62.6,1150
Nauru,1996,10.7k,60.4,1150
New Zealand,1996,3.72M,77.0,17.1k
Oman,1996,2.24M,68.1,32.5k
Pakistan,1996,127M,60.4,2400
Panama,1996,2.8M,77.0,6790
Peru,1996,24.8M,72.5,4430
Philippines,1996,71.4M,69.9,3230
Palau,1996,17.6k,66.0,3230
Papua New Guinea,1996,5.31M,63.4,2200
Poland,1996,38.5M,72.5,8220
North Korea,1996,22.1M,62.6,
Portugal,1996,10.1M,75.6,15k
Paraguay,1996,4.89M,75.1,6420
Palestine,1996,2.74M,71.2,2540
Qatar,1996,523k,70.6,2540
Romania,1996,22.8M,69.0,5700
Russia,1996,148M,66.1,5440
Rwanda,1996,6.01M,47.7,550
Saudi Arabia,1996,19M,69.6,38.4k
Sudan,1996,24.8M,61.5,2100
Senegal,1996,8.91M,59.5,1690
Singapore,1996,3.64M,77.4,36.6k
Solomon Islands,1996,370k,56.7,1970
Sierra Leone,1996,4.31M,51.8,670
El Salvador,1996,5.69M,72.2,3910
San Marino,1996,26.3k,80.9,
Somalia,1996,7.68M,50.4,3910
Serbia,1996,9.86M,70.4,3910
South Sudan,1996,5.22M,56.2,3910
Sao Tome and Principe,1996,134k,64.1,3910
Suriname,1996,448k,71.4,6860
Slovak Republic,1996,5.38M,73.2,9490
Slovenia,1996,1.99M,75.3,14.3k
Sweden,1996,8.86M,79.3,23.3k
Eswatini,1996,946k,57.2,4590
Seychelles,1996,77.6k,71.1,11k
Syria,1996,14.8M,70.1,
Chad,1996,7.25M,53.1,740
Togo,1996,4.35M,57.2,890
Thailand,1996,60.1M,70.6,7120
Tajikistan,1996,5.85M,64.1,800
Turkmenistan,1996,4.29M,64.2,3630
Timor-Leste,1996,855k,64.2,3630
Tonga,1996,96.3k,71.6,3280
Trinidad and Tobago,1996,1.26M,69.5,9310
Tunisia,1996,9.27M,73.3,4780
Turkey,1996,59.4M,71.5,11k
Tuvalu,1996,9320,63.1,11k
Taiwan,1996,21.5M,75.5,
Tanzania,1996,30.4M,52.7,1040
Uganda,1996,21M,48.1,970
Ukraine,1996,50.6M,67.3,3780
Uruguay,1996,3.25M,73.9,8880
United States,1996,268M,76.4,29.9k
Uzbekistan,1996,23.2M,65.2,2220
St. Vincent and the Grenadines,1996,108k,70.5,5030
Venezuela,1996,22.4M,73.3,11.2k
Vietnam,1996,76.1M,71.1,1510
Vanuatu,1996,172k,63.3,1740
Samoa,1996,171k,67.8,1740
Yemen,1996,15.5M,61.5,2320
South Africa,1996,42.2M,61.8,7560
Zambia,1996,9.34M,46.1,1440
Zimbabwe,1996,11.5M,52.5,2110
Afghanistan,1997,19.4M,54.5,28.8k
Angola,1997,14.9M,51.6,2830
Albania,1997,3.1M,72.9,2780
Andorra,1997,64.3k,80.2,
United Arab Emirates,1997,2.67M,69.0,2780
Argentina,1997,35.7M,73.6,11.3k
Armenia,1997,3.13M,71.1,2240
Antigua and Barbuda,1997,71.7k,73.5,14.3k
Australia,1997,18.4M,78.8,22.2k
Austria,1997,8.03M,77.7,25.3k
Azerbaijan,1997,7.93M,65.7,2520
Burundi,1997,6.12M,43.0,500
Belgium,1997,10.2M,77.5,24.3k
Benin,1997,6.28M,57.1,1560
Burkina Faso,1997,10.7M,50.8,810
Bangladesh,1997,120M,63.8,1200
Bulgaria,1997,8.21M,68.9,5570
Bahrain,1997,595k,70.9,37.6k
Bahamas,1997,287k,71.1,24.3k
Bosnia and Herzegovina,1997,3.74M,73.9,2910
Belarus,1997,10M,68.7,4600
Belize,1997,222k,71.4,4470
Bolivia,1997,7.94M,65.0,3140
Brazil,1997,167M,70.1,8310
Barbados,1997,268k,74.2,11k
Brunei,1997,312k,72.1,64.2k
Bhutan,1997,552k,64.8,2120
Botswana,1997,1.54M,49.0,7430
Central African Republic,1997,3.39M,43.8,640
Canada,1997,29.7M,78.6,24.5k
Switzerland,1997,7.07M,79.6,34.1k
Chile,1997,14.8M,76.0,8360
China,1997,1.26B,70.5,2240
Cote d'Ivoire,1997,15.1M,51.1,1970
Cameroon,1997,14.3M,55.7,1750
"Congo, Dem. Rep.",1997,43.8M,53.1,490
"Congo, Rep.",1997,2.87M,46.7,2620
Colombia,1997,37.7M,73.5,6640
Comoros,1997,502k,60.1,1620
Cape Verde,1997,404k,69.5,2130
Costa Rica,1997,3.72M,77.2,6800
Cuba,1997,11M,76.2,
Cyprus,1997,891k,75.9,16.8k
Czech Republic,1997,10.3M,74.1,14.6k
Germany,1997,81.4M,77.5,24.5k
Djibouti,1997,661k,60.4,24.5k
Dominica,1997,70.6k,72.1,5420
Denmark,1997,5.28M,76.3,24.5k
Dominican Republic,1997,8.08M,73.3,5490
Algeria,1997,29.7M,69.7,7120
Ecuador,1997,12M,74.2,5720
Egypt,1997,64.9M,67.2,4950
Eritrea,1997,2.2M,54.5,1540
Spain,1997,40M,78.8,17.7k
Estonia,1997,1.41M,70.3,17.7k
Ethiopia,1997,60.7M,50.6,460
Finland,1997,5.15M,77.3,21.5k
Fiji,1997,793k,65.9,5160
France,1997,58.2M,78.7,22.5k
"Micronesia, Fed. Sts.",1997,108k,62.4,2180
Gabon,1997,1.14M,60.2,13.4k
United Kingdom,1997,58.3M,77.3,22.7k
Georgia,1997,4.71M,70.9,2660
Ghana,1997,17.9M,59.5,1580
Guinea,1997,7.66M,54.2,1120
Gambia,1997,1.2M,61.1,1650
Guinea-Bissau,1997,1.13M,50.0,1370
Equatorial Guinea,1997,536k,54.4,4550
Greece,1997,10.9M,78.1,4550
Grenada,1997,102k,71.6,5630
Guatemala,1997,10.9M,65.3,4250
Guyana,1997,758k,63.3,5440
"Hong Kong, China",1997,6.3M,79.3,26.6k
Honduras,1997,6.05M,69.6,2340
Holy See,1997,787,,
Croatia,1997,4.53M,73.5,9540
Haiti,1997,8.03M,56.1,2080
Hungary,1997,10.3M,71.0,9230
Indonesia,1997,203M,66.7,4980
India,1997,1B,61.9,1740
Ireland,1997,3.65M,76.1,20.4k
Iran,1997,63.1M,70.9,9330
Iraq,1997,21.4M,67.5,6150
Iceland,1997,273k,79.2,26.5k
Israel,1997,5.57M,78.2,20.7k
Italy,1997,56.9M,78.8,23.8k
Jamaica,1997,2.58M,75.0,6040
Jordan,1997,4.85M,72.0,5230
Japan,1997,127M,81.0,26k
Kazakhstan,1997,15.4M,64.1,6380
Kenya,1997,29.4M,55.5,1770
Kyrgyz Republic,1997,4.71M,66.8,1600
Cambodia,1997,11.3M,59.4,840
Kiribati,1997,80.2k,55.8,2360
St. Kitts and Nevis,1997,42.9k,68.7,13.3k
South Korea,1997,46.2M,75.3,15.6k
Kuwait,1997,1.71M,77.8,72.5k
Lao,1997,5.05M,56.7,1520
Lebanon,1997,3.66M,73.9,8750
Liberia,1997,2.33M,52.4,8750
Libya,1997,5.12M,75.0,8750
St. Lucia,1997,151k,72.3,7550
Liechtenstein,1997,31.8k,,
Sri Lanka,1997,18.5M,70.5,3600
Lesotho,1997,1.97M,54.1,1550
Lithuania,1997,3.58M,71.2,6940
Luxembourg,1997,420k,77.2,41k
Latvia,1997,2.45M,69.7,6540
Morocco,1997,27.8M,68.4,3130
Monaco,1997,31.3k,78.7,
Moldova,1997,4.29M,68.1,3280
Madagascar,1997,14.3M,58.4,1160
Maldives,1997,264k,69.8,6830
Mexico,1997,94.6M,72.9,9470
Marshall Islands,1997,50.5k,63.1,2880
North Macedonia,1997,2M,71.2,5150
Mali,1997,10.1M,51.1,1020
Malta,1997,384k,78.2,14k
Myanmar,1997,45M,57.7,630
Montenegro,1997,618k,73.8,630
Mongolia,1997,2.34M,60.0,3350
Mozambique,1997,16.4M,52.6,390
Mauritania,1997,2.43M,62.2,3090
Mauritius,1997,1.15M,71.1,7520
Malawi,1997,10.3M,45.7,910
Malaysia,1997,21.6M,72.5,11.7k
Namibia,1997,1.7M,58.0,4760
Niger,1997,10.2M,50.5,780
Nigeria,1997,113M,54.6,2090
Nicaragua,1997,4.83M,72.4,2270
Netherlands,1997,15.7M,78.0,26.3k
Norway,1997,4.42M,78.5,28.3k
Nepal,1997,22.6M,63.4,1200
Nauru,1997,10.6k,60.0,1200
New Zealand,1997,3.75M,77.4,18k
Oman,1997,2.25M,68.4,34.8k
Pakistan,1997,131M,60.5,2390
Panama,1997,2.85M,76.7,7120
Peru,1997,25.2M,73.0,4730
Philippines,1997,73M,70.1,3430
Palau,1997,18k,66.2,3430
Papua New Guinea,1997,5.45M,63.5,2140
Poland,1997,38.5M,72.7,8870
North Korea,1997,22.3M,62.6,
Portugal,1997,10.2M,75.9,15.8k
Paraguay,1997,5M,75.5,6430
Palestine,1997,2.87M,71.4,2870
Qatar,1997,535k,70.1,2870
Romania,1997,22.6M,69.1,5510
Russia,1997,148M,67.2,5580
Rwanda,1997,6.42M,46.8,600
Saudi Arabia,1997,19.4M,69.8,38.7k
Sudan,1997,25.4M,61.8,2330
Senegal,1997,9.13M,59.6,1730
Singapore,1997,3.75M,77.9,40.1k
Solomon Islands,1997,380k,56.8,1930
Sierra Leone,1997,4.34M,51.5,640
El Salvador,1997,5.75M,72.1,4050
San Marino,1997,26.6k,81.1,
Somalia,1997,7.94M,50.1,4050
Serbia,1997,9.78M,70.2,5720
South Sudan,1997,5.41M,54.5,5720
Sao Tome and Principe,1997,136k,64.1,5720
Suriname,1997,454k,71.5,7170
Slovak Republic,1997,5.39M,73.0,10.1k
Slovenia,1997,1.99M,75.3,15.3k
Sweden,1997,8.87M,79.5,24.2k
Eswatini,1997,963k,55.4,4720
Seychelles,1997,78.4k,71.2,12.5k
Syria,1997,15.2M,70.4,
Chad,1997,7.5M,52.8,760
Togo,1997,4.49M,56.7,1000
Thailand,1997,60.8M,71.7,6930
Tajikistan,1997,5.94M,65.6,860
Turkmenistan,1997,4.36M,64.3,3270
Timor-Leste,1997,862k,63.4,3270
Tonga,1997,96.6k,71.4,3370
Trinidad and Tobago,1997,1.26M,70.2,10.4k
Tunisia,1997,9.4M,73.5,5090
Turkey,1997,60.4M,72.0,11.8k
Tuvalu,1997,9330,63.3,11.8k
Taiwan,1997,21.6M,76.0,
Tanzania,1997,31.2M,52.6,1060
Uganda,1997,21.7M,48.4,1020
Ukraine,1997,50.2M,67.9,3760
Uruguay,1997,3.27M,74.1,9800
United States,1997,272M,76.8,31.5k
Uzbekistan,1997,23.6M,65.4,2310
St. Vincent and the Grenadines,1997,108k,70.9,5260
Venezuela,1997,22.8M,74.1,11.8k
Vietnam,1997,77.1M,71.3,1630
Vanuatu,1997,175k,62.1,1850
Samoa,1997,172k,68.0,1850
Yemen,1997,16M,62.0,2400
South Africa,1997,43M,59.5,7750
Zambia,1997,9.6M,45.7,1480
Zimbabwe,1997,11.7M,51.2,2170
Afghanistan,1998,19.7M,53.3,29.4k
Angola,1998,15.4M,50.6,2820
Albania,1998,3.11M,74.8,3110
Andorra,1998,64.1k,80.4,
United Arab Emirates,1998,2.81M,69.2,3110
Argentina,1998,36.1M,73.7,11.7k
Armenia,1998,3.11M,71.6,2390
Antigua and Barbuda,1998,73.2k,74.5,14.9k
Australia,1998,18.6M,79.1,23.4k
Austria,1998,8.04M,77.9,26.5k
Azerbaijan,1998,7.99M,66.0,2790
Burundi,1998,6.19M,43.9,530
Belgium,1998,10.2M,77.7,25k
Benin,1998,6.47M,57.2,1610
Burkina Faso,1998,11M,51.6,860
Bangladesh,1998,123M,64.5,1250
Bulgaria,1998,8.14M,69.4,6060
Bahrain,1998,614k,71.0,39k
Bahamas,1998,291k,71.4,23.1k
Bosnia and Herzegovina,1998,3.73M,74.9,4220
Belarus,1998,9.97M,68.4,5070
Belize,1998,230k,70.6,4460
Bolivia,1998,8.1M,65.5,3280
Brazil,1998,170M,70.4,8200
Barbados,1998,269k,74.5,11.5k
Brunei,1998,319k,72.2,63.1k
Bhutan,1998,564k,65.4,2060
Botswana,1998,1.58M,47.6,7800
Central African Republic,1998,3.48M,43.8,660
Canada,1998,30M,78.8,25.4k
Switzerland,1998,7.09M,79.9,35.5k
Chile,1998,15M,76.2,8780
China,1998,1.27B,70.9,2410
Cote d'Ivoire,1998,15.6M,50.9,2020
Cameroon,1998,14.7M,55.2,1820
"Congo, Dem. Rep.",1998,44.8M,53.3,480
"Congo, Rep.",1998,2.95M,50.3,2810
Colombia,1998,38.4M,74.0,6660
Comoros,1998,515k,60.3,1620
Cape Verde,1998,413k,69.7,2360
Costa Rica,1998,3.8M,77.4,7130
Cuba,1998,11M,76.3,
Cyprus,1998,909k,76.0,19.3k
Czech Republic,1998,10.3M,74.7,14.8k
Germany,1998,81.4M,77.8,25.2k
Djibouti,1998,680k,60.2,25.2k
Dominica,1998,70.2k,71.9,5780
Denmark,1998,5.3M,76.7,25.4k
Dominican Republic,1998,8.21M,73.2,5820
Algeria,1998,30.2M,70.2,7490
Ecuador,1998,12.2M,74.1,5820
Egypt,1998,66.2M,67.5,5200
Eritrea,1998,2.21M,54.5,1590
Spain,1998,40.2M,79.0,18.9k
Estonia,1998,1.41M,69.9,18.9k
Ethiopia,1998,62.5M,51.1,440
Finland,1998,5.16M,77.6,23.1k
Fiji,1998,800k,66.5,5150
France,1998,58.4M,78.8,23.7k
"Micronesia, Fed. Sts.",1998,108k,62.5,2250
Gabon,1998,1.17M,60.1,14k
United Kingdom,1998,58.5M,77.5,23.8k
Georgia,1998,4.58M,70.6,2890
Ghana,1998,18.4M,59.7,1640
Guinea,1998,7.86M,54.3,1140
Gambia,1998,1.24M,61.5,1670
Guinea-Bissau,1998,1.15M,49.8,970
Equatorial Guinea,1998,558k,55.5,5020
Greece,1998,11M,78.2,5020
Grenada,1998,102k,71.9,6280
Guatemala,1998,11.1M,65.4,4430
Guyana,1998,754k,63.5,5480
"Hong Kong, China",1998,6.42M,79.6,25.6k
Honduras,1998,6.22M,63.4,2400
Holy See,1998,786,,
Croatia,1998,4.49M,73.8,9840
Haiti,1998,8.17M,56.5,2110
Hungary,1998,10.3M,71.0,9750
Indonesia,1998,206M,66.8,4200
India,1998,1.02B,62.1,1840
Ireland,1998,3.69M,76.3,22.5k
Iran,1998,64M,71.3,9530
Iraq,1998,22.1M,67.9,8130
Iceland,1998,275k,79.5,28.1k
Israel,1998,5.7M,78.4,21.3k
Italy,1998,56.7M,79.0,24.9k
Jamaica,1998,2.61M,74.9,5900
Jordan,1998,4.94M,72.3,5410
Japan,1998,127M,81.0,25.8k
Kazakhstan,1998,15.2M,64.5,6440
Kenya,1998,30.3M,55.1,1800
Kyrgyz Republic,1998,4.79M,67.2,1610
Cambodia,1998,11.6M,59.6,860
Kiribati,1998,81.6k,56.0,2650
St. Kitts and Nevis,1998,43.2k,68.7,13.1k
South Korea,1998,46.6M,75.6,14.8k
Kuwait,1998,1.83M,78.5,72.2k
Lao,1998,5.14M,57.3,1560
Lebanon,1998,3.69M,74.2,8980
Liberia,1998,2.52M,53.0,8980
Libya,1998,5.2M,74.8,8980
St. Lucia,1998,153k,72.8,7990
Liechtenstein,1998,32.3k,,
Sri Lanka,1998,18.6M,71.2,3780
Lesotho,1998,2M,52.0,1520
Lithuania,1998,3.56M,71.5,7590
Luxembourg,1998,426k,77.5,41.5k
Latvia,1998,2.43M,69.3,7110
Morocco,1998,28.1M,68.8,3370
Monaco,1998,31.6k,78.7,
Moldova,1998,4.25M,68.8,3050
Madagascar,1998,14.8M,58.6,1180
Maldives,1998,268k,70.8,7310
Mexico,1998,96.1M,73.2,9920
Marshall Islands,1998,50.4k,63.1,3000
North Macedonia,1998,2.01M,71.1,5370
Mali,1998,10.4M,51.0,1080
Malta,1998,387k,78.5,14.3k
Myanmar,1998,45.6M,58.1,670
Montenegro,1998,616k,73.7,670
Mongolia,1998,2.36M,60.4,3510
Mozambique,1998,16.8M,52.6,420
Mauritania,1998,2.5M,62.6,3140
Mauritius,1998,1.17M,71.8,7970
Malawi,1998,10.6M,45.5,930
Malaysia,1998,22.1M,72.9,10.7k
Namibia,1998,1.73M,56.5,4910
Niger,1998,10.5M,51.1,850
Nigeria,1998,116M,54.6,2090
Nicaragua,1998,4.91M,70.4,2390
Netherlands,1998,15.7M,78.1,27.6k
Norway,1998,4.45M,78.5,27.9k
Nepal,1998,23.1M,64.0,1220
Nauru,1998,10.6k,59.6,1220
New Zealand,1998,3.78M,77.9,18.5k
Oman,1998,2.25M,68.6,36k
Pakistan,1998,135M,60.7,2400
Panama,1998,2.91M,76.8,7510
Peru,1998,25.7M,73.4,4730
Philippines,1998,74.7M,70.2,3660
Palau,1998,18.4k,66.2,3660
Papua New Guinea,1998,5.58M,62.4,2020
Poland,1998,38.6M,73.1,9420
North Korea,1998,22.5M,62.5,
Portugal,1998,10.2M,76.2,16.6k
Paraguay,1998,5.11M,75.6,6380
Palestine,1998,3M,71.7,3340
Qatar,1998,552k,70.2,3340
Romania,1998,22.5M,69.8,5480
Russia,1998,147M,67.5,5230
Rwanda,1998,6.96M,47.9,610
Saudi Arabia,1998,19.8M,70.0,39.9k
Sudan,1998,26M,62.0,2380
Senegal,1998,9.35M,59.7,1810
Singapore,1998,3.86M,78.3,38.2k
Solomon Islands,1998,391k,56.9,1920
Sierra Leone,1998,4.38M,49.8,630
El Salvador,1998,5.8M,71.4,4170
San Marino,1998,26.9k,81.3,
Somalia,1998,8.24M,50.8,4170
Serbia,1998,9.69M,70.7,6000
South Sudan,1998,5.66M,55.4,6000
Sao Tome and Principe,1998,138k,64.2,6000
Suriname,1998,460k,70.8,7340
Slovak Republic,1998,5.4M,73.0,10.6k
Slovenia,1998,1.99M,75.5,16k
Sweden,1998,8.87M,79.6,25.3k
Eswatini,1998,980k,53.0,4620
Seychelles,1998,79.1k,71.6,13.2k
Syria,1998,15.6M,70.4,
Chad,1998,7.77M,52.5,810
Togo,1998,4.63M,56.6,970
Thailand,1998,61.6M,71.8,6330
Tajikistan,1998,6.03M,65.7,910
Turkmenistan,1998,4.41M,64.7,3460
Timor-Leste,1998,867k,63.8,3460
Tonga,1998,97k,71.0,3540
Trinidad and Tobago,1998,1.26M,69.9,11.5k
Tunisia,1998,9.51M,73.8,5350
Turkey,1998,61.3M,72.7,9000
Tuvalu,1998,9330,63.7,9000
Taiwan,1998,21.7M,76.3,
Tanzania,1998,31.9M,52.6,1090
Uganda,1998,22.3M,48.7,1050
Ukraine,1998,49.7M,68.7,3740
Uruguay,1998,3.29M,74.1,10.3k
United States,1998,275M,76.9,33.1k
Uzbekistan,1998,24M,65.4,2410
St. Vincent and the Grenadines,1998,108k,71.0,5530
Venezuela,1998,23.3M,74.0,11.7k
Vietnam,1998,78.1M,71.7,1710
Vanuatu,1998,178k,63.5,2030
Samoa,1998,173k,68.2,2030
Yemen,1998,16.5M,62.5,2590
South Africa,1998,43.7M,58.0,7740
Zambia,1998,9.87M,45.5,1440
Zimbabwe,1998,11.7M,49.7,2220
Afghanistan,1999,20.2M,54.7,29k
Angola,1999,15.9M,51.9,2640
Albania,1999,3.12M,75.1,3550
Andorra,1999,64.4k,80.6,
